id,customer_id,status,created_at,completed_at,subtotal,discount_amount,shipping_amount,tax_amount,total_amount,currency,channel,coupon_code
ord_001,cust_001,completed,2023-01-15 10:30:00,2023-01-15 10:32:00,89.99,0,5.99,7.20,103.18,USD,web,
ord_002,cust_002,completed,2023-01-20 14:15:00,2023-01-20 14:17:00,149.99,15.00,0,10.80,145.79,USD,web,WELCOME15
ord_003,cust_001,completed,2023-02-05 09:00:00,2023-02-05 09:02:00,59.99,0,5.99,4.80,70.78,USD,mobile,
ord_004,cust_003,completed,2023-02-10 16:45:00,2023-02-10 16:47:00,299.99,30.00,0,21.60,291.59,USD,web,SAVE10
ord_005,cust_004,completed,2023-02-15 11:20:00,2023-02-15 11:22:00,79.99,0,5.99,6.40,92.38,USD,web,
ord_006,cust_002,completed,2023-03-01 13:00:00,2023-03-01 13:02:00,199.99,0,0,16.00,215.99,USD,web,
ord_007,cust_005,completed,2023-03-10 15:30:00,2023-03-10 15:32:00,49.99,0,5.99,4.00,59.98,USD,mobile,
ord_008,cust_001,completed,2023-03-20 10:00:00,2023-03-20 10:02:00,129.99,13.00,5.99,9.36,132.34,USD,web,SPRING13
ord_009,cust_006,completed,2023-04-01 09:30:00,2023-04-01 09:32:00,89.99,0,5.99,7.20,103.18,USD,web,
ord_010,cust_003,completed,2023-04-15 14:00:00,2023-04-15 14:02:00,399.99,0,0,32.00,431.99,USD,web,
ord_011,cust_007,completed,2023-05-01 11:00:00,2023-05-01 11:02:00,59.99,6.00,5.99,4.32,64.30,USD,web,LOYAL10
ord_012,cust_004,completed,2023-05-15 16:00:00,2023-05-15 16:02:00,99.99,0,0,8.00,107.99,USD,mobile,
ord_013,cust_008,completed,2023-06-01 10:30:00,2023-06-01 10:32:00,249.99,25.00,0,18.00,242.99,USD,web,NEW25
ord_014,cust_001,completed,2023-06-20 14:00:00,2023-06-20 14:02:00,79.99,0,5.99,6.40,92.38,USD,web,
ord_015,cust_009,completed,2023-07-05 09:00:00,2023-07-05 09:02:00,159.99,0,0,12.80,172.79,USD,web,
ord_016,cust_005,completed,2023-07-20 15:30:00,2023-07-20 15:32:00,89.99,9.00,5.99,6.48,93.46,USD,mobile,SAVE10
ord_017,cust_010,completed,2023-08-01 11:00:00,2023-08-01 11:02:00,329.99,0,0,26.40,356.39,USD,web,
ord_018,cust_002,completed,2023-08-15 13:00:00,2023-08-15 13:02:00,119.99,0,5.99,9.60,135.58,USD,web,
ord_019,cust_006,completed,2023-09-01 10:00:00,2023-09-01 10:02:00,199.99,20.00,0,14.40,194.39,USD,web,FALL20
ord_020,cust_003,completed,2023-09-15 16:00:00,2023-09-15 16:02:00,499.99,0,0,40.00,539.99,USD,web,
ord_021,cust_011,abandoned,2023-10-01 10:00:00,,89.99,0,5.99,7.20,103.18,USD,web,
ord_022,cust_001,completed,2023-10-15 11:00:00,2023-10-15 11:02:00,149.99,0,5.99,12.00,167.98,USD,web,
ord_023,cust_012,completed,2023-11-01 14:00:00,2023-11-01 14:02:00,79.99,0,5.99,6.40,92.38,USD,mobile,
ord_024,cust_007,completed,2023-11-15 15:30:00,2023-11-15 15:32:00,199.99,40.00,0,12.80,172.79,USD,web,BLACK40
ord_025,cust_013,completed,2023-12-01 10:00:00,2023-12-01 10:02:00,299.99,0,0,24.00,323.99,USD,web,
